Season,Name,Team,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA-,FIP-,xFIP-,ERA,FIP,E-F,xFIP,SIERA,NameASCII,PlayerId,MLBAMID
2018,Jake Arrieta,PHI,7.193050617,2.971042646,2.42105263,1.094594659,0.19060773,0.07872928,0.11187845,0.25,1.285714361,0.28742515,0.68136273,98.47867824,101.6482011,100.353244,3.961390195,4.255026235,-0.29363604,4.080049889,4.290269723,Jake Arrieta,4153,453562
2017,Rick Porcello,BOS,8.011476211,2.124590377,3.77083333,1.681967381,0.20451977,0.05423729,0.15028249,0.283995187,1.396721451,0.323529412,0.69679054,101.5910006,106.0158936,100.8708394,4.647541449,4.603541478,0.04399997,4.431076011,4.277166723,Rick Porcello,2717,519144
2017,Félix Hernández,SEA,8.100000951,2.700000317,3,1.765384823,0.21195652,0.07065217,0.14130435,0.255952381,1.292307844,0.286307054,0.76433121,103.7079348,116.3989232,91.59571132,4.361538973,5.01533222,-0.653793246,4.025208397,4.190350244,Felix Hernandez,4772,433587
2014,Justin Verlander,DET,6.946601427,2.839805615,2.44615385,0.786407709,0.17805151,0.07278835,0.10526316,0.270959903,1.398058149,0.317337461,0.66840926,117.8712113,97.92317042,110.5279775,4.543688984,3.743902609,0.799786375,4.191926548,4.169930116,Justin Verlander,8700,434378
2018,Dallas Keuchel,HOU,6.728012862,2.550488536,2.63793103,0.791530925,0.17505721,0.06636156,0.10869565,0.259213759,1.314332215,0.300155521,0.72823434,91.16821217,89.13391783,90.68083277,3.737784923,3.688118859,0.049666064,3.835961277,4.150114372,Dallas Keuchel,9434,572971
2017,Jake Arrieta,CHC,8.714850959,2.940593882,2.96363636,1.229702896,0.23055163,0.07779349,0.15275813,0.23364486,1.217821709,0.278508772,0.72757112,81.62070294,96.0238533,95.13877367,3.528712658,4.155659436,-0.626946778,4.11243706,4.145481303,Jake Arrieta,4153,453562
2011,Rick Porcello,DET,5.142856712,2.274725084,2.26086957,0.890109815,0.13265306,0.05867347,0.07397959,0.287671233,1.406593289,0.315789474,0.67420436,113.7487916,99.81773867,99.38602765,4.747252349,4.058353232,0.688899117,4.021993747,4.127204517,Rick Porcello,2717,519144
2013,R.A. Dickey,TOR,7.090504772,2.844213779,2.49295775,1.402077215,0.18769883,0.07529162,0.11240721,0.240139211,1.23738878,0.264615385,0.73221757,103.5989399,113.6643143,106.6694769,4.206231644,4.579011715,-0.372780071,4.23209028,4.10236487,R.A. Dickey,1245,285079
2014,R.A. Dickey,TOR,7.219474838,3.088099064,2.33783784,1.085007779,0.1892779,0.0809628,0.1083151,0.231234867,1.228748126,0.263157895,0.73371805,95.65352959,112.5111646,109.1398301,3.71406509,4.319269226,-0.605204136,4.1389069,4.084432385,R.A. Dickey,1245,285079
2012,Rick Porcello,DET,5.461247322,2.245746562,2.43181818,0.816635114,0.1366539,0.05619413,0.08045977,0.308321965,1.531190838,0.344262295,0.69006309,110.1670627,93.69683632,93.96714824,4.593572514,3.911087209,0.682485305,3.888895405,4.073870242,Rick Porcello,2717,519144
2017,Justin Verlander,- - -,9.567961165,3.145631068,3.04166667,1.17961165,0.25795053,0.08480565,0.17314488,0.21992238,1.174757282,0.271347249,0.79731028,76.20442103,86.57496687,94.84614099,3.36407767,3.842105714,-0.478028044,4.167442996,4.049665665,Justin Verlander,8700,434378
2017,David Price,BOS,9.160713896,2.89285702,3.16666667,0.964285673,0.23974763,0.07570978,0.16403786,0.224913495,1.191964235,0.27804878,0.77017115,73.77440659,83.73855004,95.60011338,3.374999856,3.639782531,-0.264782675,4.200435853,4.046160049,David Price,3184,456034
2011,Corey Kluber,CLE,10.384623,6.230773802,1.66666667,0,0.2,0.12,0.08,0.3,2.076924601,0.4,0.63636364,211.2755118,104.9736028,131.6379053,8.307698402,4.179233286,4.128465116,5.33885627,4.032006444,Corey Kluber,2429,446372
2011,R.A. Dickey,NYM,5.779552575,2.329073426,2.48148148,0.776357809,0.15296804,0.06164384,0.0913242,0.248462485,1.226837031,0.278366112,0.75062552,88.68488496,99.72060732,102.6733718,3.277955192,3.768197769,-0.490242578,3.953219345,4.005843683,R.A. Dickey,1245,285079
2015,Justin Verlander,DET,7.627499418,2.159999835,3.53125,0.877499933,0.21121495,0.05981308,0.15140187,0.226,1.087499917,0.267379679,0.70878274,82.61816219,84.91831615,102.7471663,3.374999743,3.493593723,-0.11859398,4.151848295,3.952220437,Justin Verlander,8700,434378
2016,Jake Arrieta,CHC,8.665540764,3.466216306,2.5,0.729729749,0.23899371,0.09559748,0.14339623,0.193548387,1.084459487,0.240631164,0.74898785,74.56793849,85.31619627,89.24026156,3.101351431,3.521560393,-0.420208961,3.682944725,3.94448812,Jake Arrieta,4153,453562
2012,Corey Kluber,CLE,7.714285714,2.571428571,3,1.285714286,0.19217082,0.06405694,0.12811388,0.293436293,1.492063492,0.341836735,0.6323185,129.2471551,103.774954,96.42271683,5.142857143,4.284928286,0.857928857,3.989258378,3.939977394,Corey Kluber,2429,446372
2010,R.A. Dickey,NYM,5.369025013,2.168260102,2.47619048,0.671128127,0.14586255,0.05890603,0.08695652,0.247376312,1.187380532,0.276363636,0.77282158,72.89840641,93.04362812,93.82285307,2.839388228,3.645720072,-0.806331844,3.748108623,3.894953441,R.A. Dickey,1245,285079
2014,Rick Porcello,DET,5.672637873,1.802931417,3.14634146,0.791530866,0.15357143,0.04880952,0.10476191,0.265408805,1.231270236,0.297839506,0.72357019,88.97932416,96.12470406,97.08983014,3.429967086,3.674597392,-0.244630306,3.678662728,3.8848927,Rick Porcello,2717,519144
2019,David Price,BOS,10.73291976,2.683229941,4,1.257764035,0.27947598,0.069869,0.20960699,0.257683215,1.313664659,0.335714286,0.70731707,88.44049262,80.28650092,81.77815212,4.276397718,3.623947383,0.652450335,3.734606504,3.853162151,David Price,3184,456034
2010,David Price,TBR,8.108626,3.40734816,2.37974684,0.64696484,0.21835075,0.09175377,0.12659698,0.218790219,1.193290706,0.270034843,0.78540773,68.87364293,83.96430306,91.72918688,2.71725233,3.418098009,-0.700845679,3.829688536,3.826967029,David Price,3184,456034
2018,David Price,BOS,9.051136364,2.556818182,3.54,1.278409091,0.24515235,0.06925208,0.17590028,0.228096677,1.142045455,0.273913043,0.77272727,80.28244011,95.83397784,93.24385432,3.579545455,4.018386121,-0.438840667,3.945404607,3.81948263,David Price,3184,456034
2016,Rick Porcello,BOS,7.627802691,1.291479821,5.90625,0.928251121,0.21235955,0.03595506,0.17640449,0.228402367,1.00896861,0.268562401,0.74344023,71.44338337,80.85007381,91.58926088,3.147982063,3.397681459,-0.249699396,3.894263449,3.779484259,Rick Porcello,2717,519144
2016,Dallas Keuchel,HOU,7.714286415,2.571428805,3,1.071428669,0.20542083,0.06847361,0.13694722,0.258064516,1.285714402,0.303901437,0.68421053,112.7864512,92.38804419,83.04362372,4.553571842,3.872750925,0.680820917,3.534675246,3.769886389,Dallas Keuchel,9434,572971
2018,Rick Porcello,BOS,8.937281755,2.257839601,3.95833333,1.270034776,0.23514851,0.05940594,0.17574257,0.237903226,1.175958126,0.284629981,0.70866142,96.00324733,95.69125865,91.47215697,4.280487577,4.012347907,0.268139671,3.869751534,3.767055823,Rick Porcello,2717,519144
2019,Clayton Kershaw,LAD,9.538318029,2.069158938,4.6097561,1.413084152,0.26770538,0.05807365,0.20963173,0.218702866,1.042990684,0.262331839,0.84005376,71.16710472,86.8051241,78.76547109,3.02803747,3.858869307,-0.830831838,3.502066053,3.7650377,Clayton Kershaw,2036,477132
2015,Rick Porcello,BOS,7.79651232,1.988372269,3.92105263,1.308139651,0.20217096,0.05156038,0.15061058,0.284470247,1.360465237,0.332038835,0.67464115,118.2829515,104.1057963,92.04679718,4.918605088,4.127779885,0.790825203,3.722498506,3.728032954,Rick Porcello,2717,519144
2012,Roy Halladay,PHI,7.599147369,2.072494737,3.66666667,1.036247368,0.20433437,0.05572755,0.14860681,0.256198347,1.221748441,0.301098901,0.69086651,113.8375149,92.63873157,92.22310798,4.490405263,3.689334844,0.80107042,3.601302448,3.695278514,Roy Halladay,1303,136880
2012,Jake Arrieta,BAL,8.555231467,2.747092673,3.11428571,1.255813793,0.21975806,0.07056452,0.14919355,0.26754386,1.369185872,0.320241692,0.5730659,148.5619809,94.57814729,88.08046034,6.200580605,4.053754298,2.146826306,3.648297158,3.663775444,Jake Arrieta,4153,453562
2010,Max Scherzer,DET,8.463372863,3.219761415,2.62857143,0.919931833,0.23,0.0875,0.1425,0.2406639,1.247018707,0.29672447,0.74887892,82.95662376,88.26468317,88.16468665,3.495740965,3.706462512,-0.210721547,3.682131251,3.662304435,Max Scherzer,3137,453286
2016,Jacob deGrom,NYM,8.695945049,2.189188963,3.97222222,0.912162068,0.23675497,0.05960265,0.17715232,0.251327434,1.202702579,0.312039312,0.8,77.70443157,81.9789642,84.08090296,3.040540227,3.32223604,-0.281695813,3.467696141,3.661984005,Jacob deGrom,10954,594798
2013,Dallas Keuchel,HOU,7.203903959,3.045552893,2.36538462,1.171366497,0.18035191,0.07624633,0.10410557,0.2944,1.53579163,0.340248963,0.68075117,128.5867897,105.7059338,90.39385092,5.154012589,4.251758832,0.902253757,3.582177328,3.633006522,Dallas Keuchel,9434,572971
2011,Max Scherzer,DET,8.030768602,2.584615182,3.10714286,1.338461434,0.20888355,0.06722689,0.14165666,0.268831169,1.348717843,0.313932981,0.73670445,106.1655395,101.8895412,91.45544039,4.430768884,4.143334916,0.287433968,3.698183355,3.622804905,Max Scherzer,3137,453286
2017,Dallas Keuchel,HOU,7.723111049,2.903889755,2.65957447,0.926773326,0.2140411,0.08047945,0.13356164,0.21682243,1.118992979,0.255696203,0.79861111,68.67031228,87.3604016,75.42413846,2.903889755,3.789218553,-0.885328799,3.317561278,3.611435602,Dallas Keuchel,9434,572971
2013,Justin Verlander,DET,8.945037751,3.091602909,2.89333333,0.78320607,0.23459459,0.08108108,0.15351351,0.250591017,1.314503756,0.316393443,0.74508321,85.62000062,82.38066769,92.49454737,3.462595259,3.276861999,0.18573326,3.666061649,3.610679726,Justin Verlander,8700,434378
2016,David Price,BOS,8.92173913,1.956521739,4.56,1.173913043,0.23974763,0.05257624,0.1871714,0.253914989,1.204347826,0.309748428,0.73553719,90.582564,85.79641338,82.57833961,3.991304348,3.603082122,0.388222226,3.515096756,3.596240472,David Price,3184,456034
2019,Blake Snell,TBR,12.36448686,3.364486221,3.675,1.177570177,0.33333333,0.09070295,0.24263039,0.24,1.271028128,0.343096234,0.71550256,97.96939747,76.09969162,72.53004051,4.289719932,3.316813221,0.972906711,3.307633176,3.56252071,Blake Snell,13543,605483
2010,Clayton Kershaw,LAD,9.337683756,3.567699926,2.61728395,0.572593815,0.25,0.09551887,0.15448113,0.210526316,1.17944538,0.274766355,0.76153177,75.8783323,79.7572225,91.12626389,2.907014754,3.121888104,-0.21487335,3.639566869,3.541588747,Clayton Kershaw,2036,477132
2016,Corey Kluber,CLE,9.502325581,2.386046512,3.98245614,0.920930233,0.26395349,0.06627907,0.19767442,0.213567839,1.055813953,0.270566728,0.7480315,71.69638294,75.96813287,82.23365016,3.139534884,3.25818829,-0.118653406,3.500592716,3.501632833,Corey Kluber,2429,446372
2010,Justin Verlander,DET,8.786032889,2.848439886,3.08450704,0.561664203,0.23675676,0.07675676,0.16,0.224056604,1.163447277,0.286178862,0.71948262,79.97234307,70.48547738,84.15329653,3.369985218,2.966401116,0.403584101,3.516074358,3.455741305,Justin Verlander,8700,434378
2018,Clayton Kershaw,LAD,8.64669367,1.617768493,5.34482759,0.948347048,0.23846154,0.04461538,0.19384615,0.224555735,1.041322248,0.272930649,0.78659371,71.0540006,79.20365737,78.19726971,2.733470902,3.185224963,-0.451754061,3.187186263,3.448157213,Clayton Kershaw,2036,477132
2017,Jacob deGrom,NYM,10.68377429,2.637417085,4.05084746,1.251655566,0.28899637,0.0713422,0.21765417,0.234986945,1.187086033,0.304609218,0.76313181,86.38911823,82.60532172,74.80222441,3.531456775,3.500354909,0.031101867,3.229720631,3.4445259,Jacob deGrom,10954,594798
2016,Justin Verlander,DET,10.04099538,2.25329424,4.45614035,1.185944337,0.28128461,0.06312292,0.21816168,0.204057279,1.001464106,0.254512635,0.79896907,72.12781359,80.8627319,88.96012133,3.043923797,3.484774138,-0.440850341,3.783633013,3.417700743,Justin Verlander,8700,434378
2015,Félix Hernández,SEA,8.523966082,2.588429491,3.29310345,1.026446177,0.23123487,0.07021792,0.16101695,0.23715415,1.18016517,0.288073394,0.77746741,91.27364259,93.50977718,82.3566058,3.525619479,3.718717658,-0.193098179,3.333681859,3.381232359,Felix Hernandez,4772,433587
2013,David Price,TBR,7.28035754,1.301785785,5.59259259,0.771428613,0.20405405,0.03648649,0.16756757,0.250704225,1.098214346,0.298342541,0.70043103,86.36195571,78.08999436,82.47828731,3.326785896,3.026425803,0.300360092,3.266095641,3.357512191,David Price,3184,456034
2012,Justin Verlander,DET,9.025175018,2.265734314,3.98333333,0.717482533,0.25,0.06276151,0.18723849,0.215488215,1.05734268,0.273301738,0.76388889,63.39528598,70.22436647,79.84330959,2.6433567,2.943403141,-0.300046441,3.311631775,3.327256688,Justin Verlander,8700,434378
2013,Rick Porcello,DET,7.220338905,2.135593197,3.38095238,0.915254227,0.19293478,0.05706522,0.13586957,0.267727931,1.282485862,0.314500942,0.69824219,106.8714399,88.64395273,80.67279112,4.322033852,3.528080359,0.793953492,3.19399916,3.314966947,Rick Porcello,2717,519144
2012,Clayton Kershaw,LAD,9.052709043,2.490483274,3.63492063,0.632503689,0.25416204,0.06992231,0.18423973,0.204081633,1.023426107,0.261904762,0.77922078,66.7661591,74.27755887,83.31309269,2.530014754,2.892402306,-0.362387551,3.249263456,3.311666399,Clayton Kershaw,2036,477132
2018,Blake Snell,TBR,11.00922571,3.188192061,3.453125,0.797048015,0.31571429,0.09142857,0.22428571,0.176377953,0.974169797,0.24120603,0.87968952,46.13955279,72.42198923,74.74292536,1.892989036,2.944564405,-1.051575368,3.155398271,3.299520815,Blake Snell,13543,605483
2019,Jacob deGrom,NYM,11.25,1.941176471,5.79545455,0.838235294,0.31716418,0.05472637,0.26243781,0.204515272,0.970588235,0.281837161,0.81838565,59.25662588,61.54418247,69.88716206,2.426470588,2.674793789,-0.248323201,3.111930035,3.28748725,Jacob deGrom,10954,594798
2012,Félix Hernández,SEA,8.650862069,2.172413793,3.98214286,0.543103448,0.23748669,0.05963791,0.17784878,0.239954076,1.142241379,0.307570978,0.74980575,80.06286957,70.63445794,77.18949058,3.064655172,2.835831405,0.228823767,3.203165994,3.274886815,Felix Hernandez,4772,433587
2015,David Price,- - -,9.190619848,1.919818368,4.78723404,0.694402389,0.25337838,0.05292793,0.20045045,0.22673031,1.075642916,0.290268456,0.78630897,60.12612421,67.45068292,79.99104933,2.450831959,2.775046111,-0.324214152,3.238764463,3.267244442,David Price,3184,456034
